layer,code,seq,name,removed_from_gmaps,lat,lon,source_url,description
mosque,茨城03,231,マスジッドアルゴンラーマン,False,36.5720238,140.6484683,https://www.facebook.com/hitachi.masjid/?locale=ja_JP,日本イスラム文化センター 日立マスジド<br>Googleマップ登録なし<br>茨城県日立市東成沢町3-13-10<br>https://www.facebook.com/hitachi.masjid/?locale=ja_JP<br>https://halalmedia.jp/ja/masjid/masjid-ar-rahmanhitachi-mosque/<br>より
mosque,茨城04,033,Yahagi Masjid,False,35.9938459,139.9025255,,
mosque,茨城05,034,マーカズ ムハンマド アライ ムハンマド ジャパン （シーア派モスク）,False,36.132815,139.9182963,,
mosque,茨城06,035,ISHIGE MASJID JAPAN,False,36.120663,139.9729473,,
mosque,茨城07,036,Masjid Madina,False,36.2411209,140.3072799,,
mosque,茨城08,038,"Anwar-e Madinah Masjid(ishioka,omitama)",False,36.2249666,140.3311124,,
mosque,茨城09,039,Masjid Umar Bin Khattab,False,36.1449245,139.8427237,,
mosque,茨城10,040,MASJID NUR ALAM JOSO,False,36.1066414,139.9707899,,
mosque,茨城11,041,Al Mustafa Masjid,False,36.0734369,139.8581231,,
mosque,茨城12,025,Masjid 125,False,36.1877814,140.0068216,,
mosque,茨城13,026,Sakai Machi Jame Masjid,False,36.1189589,139.7893174,https://sakaimachijamemasjid.com/,2026.3<br>googleマップ登録削除<br>茨城県猿島郡境町長井戸1731-2<br>HP:https://sakaimachijamemasjid.com/
mosque,茨城14,027,Masjid NU At Taqwa koga,False,36.1579592,139.8106227,,
mosque,茨城15,028,ビラールモスク,False,36.2967131,139.8870844,,
mosque,茨城16,029,"Islamic Center, Tajweed ul quran, Japan.",False,36.2058047,139.7865956,https://www.facebook.com/p/Islamic-center-tajweed-ul-quran-japan-100069199744160/,茨城県古河市上大野2018<br>https://www.facebook.com/p/Islamic-center-tajweed-ul-quran-japan-100069199744160/
mosque,茨城17,030,Jamiya masjid minhaj ul quran sakai japan,False,36.0848685,139.8293794,,
mosque,茨城18,031,Iwai Bando Masjid Complex,False,36.0420088,139.891192,,
mosque,茨城19,032,Masjid al-Hussain,False,36.1624399,139.9056963,,
mosque,茨城20,017,Baitul Mukarram Mosque,False,36.3820646,140.4902913,,
mosque,茨城21,019,Baitun Nur Masjid Inashiki,False,35.965206,140.319381,,
mosque,茨城22,021,つくばモスク,False,36.111544,140.0761493,,
mosque,茨城23,263,Pesantren NU At-Taqwa,False,36.2116925,139.8178053,,
mosque,茨城24,269,アフルルバイトセンターとフセイニヤ,False,36.0736057,139.8355927,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxLW1k3clwePMqeA2x2Uwkovdx07JZSWBnFVsRdYOQ_9N4wII3zZ24A2drcCoonrSeV2Ys7Kgp4NmJ_CVhHnQBdSnIJU6zwiKOK1nht2UASUtodkXii957n_htqEH3tWj5mXz6fgnwYMrgy-bLX3JMxWb_kpFUkfFAGL3C-ewRn_802ksM3NBzZ1xtxVU8PBeimG5oDyq1yRhHKXUeng1KO8Qvc33vZMI7wN2hWI9kayqup2-N0MEneDtU?fife=s16383,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxLW1k3clwePMqeA2x2Uwkovdx07JZSWBnFVsRdYOQ_9N4wII3zZ24A2drcCoonrSeV2Ys7Kgp4NmJ_CVhHnQBdSnIJU6zwiKOK1nht2UASUtodkXii957n_htqEH3tWj5mXz6fgnwYMrgy-bLX3JMxWb_kpFUkfFAGL3C-ewRn_802ksM3NBzZ1xtxVU8PBeimG5oDyq1yRhHKXUeng1KO8Qvc33vZMI7wN2hWI9kayqup2-N0MEneDtU?fife=s16383"" height=""200"" width=""auto"" /><br>茨城県猿島郡境町若林２１５９<br>FB：https://www.facebook.com/p/مركز-و-حسينية-اهل-البيت-في-ايباراكي-اليابان-61573217585716/‎"
mosque,茨城25,270,Mushola merah putih bando,False,36.1180563,139.8527109,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwiR4qLC4xDWm3pop5Zex5LntqD9tjL9lC7Cdka3lyzRP-MBvai31xuwkuyVZqhECusYt9Fis-pB3ywrZhhA_aze4k_9Dswj1VkNUZkjN9S_ov65S3jW8NfIpRjW-kCwaYtM6_xe3yhbxBJTZVBzUKYQ2h5HXsQSSes8OmmFWGoFa30b8pOuK7bHyvS-fJvePLTX-sN3uxcRyv7s7dKVfVxRh9GIfQPd3OfvabxXJPevZlm_8IxYgAxfdo?fife=s16383,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwiR4qLC4xDWm3pop5Zex5LntqD9tjL9lC7Cdka3lyzRP-MBvai31xuwkuyVZqhECusYt9Fis-pB3ywrZhhA_aze4k_9Dswj1VkNUZkjN9S_ov65S3jW8NfIpRjW-kCwaYtM6_xe3yhbxBJTZVBzUKYQ2h5HXsQSSes8OmmFWGoFa30b8pOuK7bHyvS-fJvePLTX-sN3uxcRyv7s7dKVfVxRh9GIfQPd3OfvabxXJPevZlm_8IxYgAxfdo?fife=s16383"" height=""200"" width=""auto"" /><br>茨城県坂東市菅谷１１７１−８<br>インスタ：https://www.instagram.com/musholla.bando.ibaraki/<br>https://www.youtube.com/watch?v=_RQwD13b9oA"
mosque,茨城26,278,茨城県石岡市,False,36.196839,140.2974909,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gzedgpuex0e3-Xhv5FF9u_6vQYrsmhdjmL0Liqf1lhXdnp4gSlr04S0FG6DIvLNxUhkk1JTu_--i2OeVSrpn9w2XHh8vq6PzP_YJZSFppEjJJwDSekL8-Ec2i46eXqabJaG36nRozGPkn4MI70MhfQr3kCWil-Y5r0xK5zluRdtIwzqQl61qNZYWJ1qXM0B0LYxeLMC5L93OMJIIyhhTnSQ_8cBg891knG72qk-mTqbwWKziamPEoCGAL8?fife=s16383,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gzedgpuex0e3-Xhv5FF9u_6vQYrsmhdjmL0Liqf1lhXdnp4gSlr04S0FG6DIvLNxUhkk1JTu_--i2OeVSrpn9w2XHh8vq6PzP_YJZSFppEjJJwDSekL8-Ec2i46eXqabJaG36nRozGPkn4MI70MhfQr3kCWil-Y5r0xK5zluRdtIwzqQl61qNZYWJ1qXM0B0LYxeLMC5L93OMJIIyhhTnSQ_8cBg891knG72qk-mTqbwWKziamPEoCGAL8?fife=s16383"" height=""200"" width=""auto"" /><br>なぞ。<br>https://www.google.com/maps?cid=18303704963258614445"
mosque,栃木01,234,"SUFI ISLAMIC CENTER (Masjid Zain-ul-Abideen)NOGI, TOCHIGI.",False,36.2257657,139.7663372,,
mosque,栃木02,235,Oyama Mosque Tochigi,False,36.3467356,139.768575,,
mosque,栃木03,236,OHIRA NUR MASJID,False,36.3349501,139.6995734,,
mosque,栃木04,237,Utsunomiya Masjid(UICC),False,36.5494643,139.9164801,,
mosque,栃木05,238,Kaminokawa Mosque,False,36.4771157,139.9099298,,
mosque,栃木06,042,リヤードル・ジャンナ・マスジド,False,36.9537404,140.0764513,,
mosque,栃木07,043,Iqra Mosque (Kanuma Mosque),False,36.5402258,139.8116091,,
mosque,栃木08,044,Sano Masjid,False,36.3199345,139.5850704,,
mosque,栃木09,045,足利マスジド,False,36.3574833,139.4053808,,
mosque,栃木10,048,バーブ・ル・イスラーム・マスジド（小山マスジド）,False,36.304938,139.7883245,,
mosque,栃木11,273,Pak japan masjid,False,36.6228503,140.1508395,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gw78PDsilg6QRYYEReNUg_g5Bkq69rSWTzRUZfqg_zwrOHlDvZCTVGBfp81w-mxdzKQj9Bayv2d95VE-FfDnBgJmQ8q26hGxp0Mhs8gOPNAHGxi2rK8rA2xBnYu6yRNsMxULbQ61V4r66NrznJ6SLScMvPwC7IYGvp-DUpkeFciNOv1Fl8_yQGSFeQwJGlEa3gjVoGQNxwekBH-OLnlc11DvJgPuS-mXE6uuqLpfj8XCnHX4eAZm_13fF8?fife=s16383,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gw78PDsilg6QRYYEReNUg_g5Bkq69rSWTzRUZfqg_zwrOHlDvZCTVGBfp81w-mxdzKQj9Bayv2d95VE-FfDnBgJmQ8q26hGxp0Mhs8gOPNAHGxi2rK8rA2xBnYu6yRNsMxULbQ61V4r66NrznJ6SLScMvPwC7IYGvp-DUpkeFciNOv1Fl8_yQGSFeQwJGlEa3gjVoGQNxwekBH-OLnlc11DvJgPuS-mXE6uuqLpfj8XCnHX4eAZm_13fF8?fife=s16383"" height=""200"" width=""auto"" /><br>栃木県那須烏山市向田１５６０"
mosque,群馬01,251,"Minhaj-ul-Quran Islamic Center, Maebashi City, Gunma",False,36.4180384,139.2218157,,
mosque,群馬02,049,アルファラホ マスジド,False,36.4344601,138.988462,,
mosque,群馬03,050,"MALIK DINAR MASJID,OTA マリク ディナル マスジド",False,36.2519624,139.3285479,,
mosque,群馬04,051,桐生マスジド,False,36.4252931,139.3508993,,
mosque,群馬05,052,太田モスク,False,36.2953429,139.3765933,,
mosque,群馬06,053,館林クバマスジド Tatebayashi Quba Musjid,False,36.2421283,139.5337366,,
mosque,群馬07,054,マスジド サラマト,False,36.2525908,139.5190052,,
mosque,群馬08,055,Darussalam Kuragano,False,36.2931476,139.069783,,
mosque,群馬09,056,Yatajima Masjid,False,36.2684885,139.1949772,,
